binary_index,state,event,time,separation,orbital_period,eccentricity,rl_relative_overflow_1,rl_relative_overflow_2,lg_mtransfer_rate,step_names,step_times,V_sys_x,V_sys_y,V_sys_z,S1_state,S1_metallicity,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_lg_system_mdot,S1_lg_wind_mdot,S1_he_core_mass,S1_he_core_radius,S1_c_core_mass,S1_c_core_radius,S1_o_core_mass,S1_o_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_center_c12,S1_center_n14,S1_center_o16,S1_surface_h1,S1_surface_he4,S1_surface_c12,S1_surface_n14,S1_surface_o16,S1_log_LH,S1_log_LHe,S1_log_LZ,S1_log_Lnuc,S1_c12_c12,S1_center_gamma,S1_avg_c_in_c_core,S1_surf_avg_omega,S1_surf_avg_omega_div_omega_crit,S1_total_moment_of_inertia,S1_log_total_angular_momentum,S1_spin,S1_conv_env_top_mass,S1_conv_env_bot_mass,S1_conv_env_top_radius,S1_conv_env_bot_radius,S1_conv_env_turnover_time_g,S1_conv_env_turnover_time_l_b,S1_conv_env_turnover_time_l_t,S1_envelope_binding_energy,S1_mass_conv_reg_fortides,S1_thickness_conv_reg_fortides,S1_radius_conv_reg_fortides,S1_lambda_CE_1cent,S1_lambda_CE_10cent,S1_lambda_CE_30cent,S1_lambda_CE_pure_He_star_10cent,S2_state,S2_metallicity,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_lg_system_mdot,S2_lg_wind_mdot,S2_he_core_mass,S2_he_core_radius,S2_c_core_mass,S2_c_core_radius,S2_o_core_mass,S2_o_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_center_c12,S2_center_n14,S2_center_o16,S2_surface_h1,S2_surface_he4,S2_surface_c12,S2_surface_n14,S2_surface_o16,S2_log_LH,S2_log_LHe,S2_log_LZ,S2_log_Lnuc,S2_c12_c12,S2_center_gamma,S2_avg_c_in_c_core,S2_surf_avg_omega,S2_surf_avg_omega_div_omega_crit,S2_total_moment_of_inertia,S2_log_total_angular_momentum,S2_spin,S2_conv_env_top_mass,S2_conv_env_bot_mass,S2_conv_env_top_radius,S2_conv_env_bot_radius,S2_conv_env_turnover_time_g,S2_conv_env_turnover_time_l_b,S2_conv_env_turnover_time_l_t,S2_envelope_binding_energy,S2_mass_conv_reg_fortides,S2_thickness_conv_reg_fortides,S2_radius_conv_reg_fortides,S2_lambda_CE_1cent,S2_lambda_CE_10cent,S2_lambda_CE_30cent,S2_lambda_CE_pure_He_star_10cent
98167,RLO2,oRLO2,9700018300.894293,11.072280575074322,1.6515667235700666,0.0,-1.0,-0.050000000000000155,,step_detached,0.17218875885009766,-69.57617509873366,-93.25814352719941,-57.395437179558876,BH,1.0,4.497843548541085,-4.719120952063077,,-12.991325483726067,,,,,,,,,7.148810025108933,,,,,,,,,,,,,,,,,,,,,,,6.119281063359719e-07,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,2.1869361626267296,0.5251208090794718,1.6030221967834684,-11.613802662765268,,-11.613802662765268,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1131751858144906,0.8729549331115946,3.57112618132412e-05,0.008823935842693023,0.00014600303915351636,0.7154999999725584,0.27027123463996994,,0.000735752497848602,0.006088350054733837,1.6038884544780714,-32.19137009062939,-1.8389726909998947,1.6040450736839573,-88.39695377333317,0.0733233551113537,0.0,3.9248875980356185e-05,0.25938453918570953,6.74978017937763e+54,50.4231168531784,6.28787675367425,2.1869361626267296,2.1869361618829926,3.350684018277334,3.342450123225522,296860.83151730616,0.0024197924884513254,-1e+99,-7.605934623563275e+48,2.0723182665611998e-08,0.0163962462232089,3.310176912385617,0.7055737202330696,0.7055737202330696,0.5778575889114556,0.7055737202330696
164933,RLO2,oRLO2,5802278665.915674,14.426048143361095,2.7155088670829204,0.0,-1.0,-0.05000000000003063,,step_detached,0.24479246139526367,-14.406067896214116,-117.41831191713534,88.72882993625596,BH,1.0,2.8892351680195665,-4.911342404583683,,-13.256685164742603,,,,,,,,,5.593856279916699,,,,,,,,,,,,,,,,,,,,,,,1.570389016217658e-06,,,,,,,,,,,,,,,,H-rich_Shell_H_burning,1.0,2.5797630512449348,0.7040794679402448,2.032265154888517,-11.085397657746267,,-11.085397657746267,0.2407906111240081,,0.0,0.0,0.0,0.0,0.0,0.0,6.077427950228065e-10,0.986138235274966,5.451583959469041e-05,0.008836785803650564,0.00010624462358947785,0.7154999999965003,0.27027123463996955,,0.0007357524978486013,0.006088350054733829,2.049201810344762,-25.763194133021173,-1.3902010926542485,2.0493596813887787,-79.67658521110407,0.1944426601556419,0.0,2.075304475466845e-05,0.2342959729619813,1.430944005247123e+55,50.47270446221379,5.065288721952217,2.5797630512449348,2.5797630495468136,5.059348884684536,5.040908094333286,3656366.3926163046,0.3255768608571813,-1e+99,-9.399790555406164e+48,5.1055888113684614e-08,0.030850138337373132,4.979006049543037,0.4776721194196324,0.4760805673009722,0.47150616459596306,0.5160655098450733
421025,RLO2,oRLO2,9254012684.31765,38.594192572452705,11.074943243938852,0.0,-1.0,-0.05000000000007624,,step_detached,0.44357872009277344,5.117625408968917,-117.90068189535334,51.51956241503048,BH,1.0,4.083569722407029,-4.761085321991358,,-12.288649160342311,,,,,,,,,6.823520291495091,,,,,,,,,,,,,,,,,,,,,,,3.576181705644111e-13,,,,,,,,,,,,,,,,H-rich_Shell_H_burning,1.0,2.2122308226410103,1.0791785936749712,1.8478705404094564,-10.840613383472542,,-10.840613383472542,0.27304708354374185,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9861363125488488,5.0069555314512525e-05,0.008833697511331343,0.00011570253396244449,0.7097246267230625,0.27566064239623145,,0.0017562772315615706,0.006079973668905486,1.8420790717208861,-8.480199337583976,-1.5958612871371893,1.842237475233078,-53.12732652283764,0.29195563892814186,0.0,6.556269003462412e-06,0.2919867270972143,4.2695953948415694e+56,51.44704348571826,64.92948934976297,2.212230746358336,0.4869608130993621,11.993631426401405,1.7689759110827155,-1e+99,0.2915205110818263,8973267.030676922,-1.3292384769394896e+48,1.7252699341767037,10.224585485422908,6.881251265458943,0.975517706780934,1.0447587389370814,1.4313753207596691,0.39151903448307074
432008,RLO2,oRLO2,363657195.94792473,5.1410042754287435,0.5715830691489673,0.0,-1.0,-0.050000000000000065,,step_detached,0.12965083122253418,6.989694217791426,-179.6430447880739,-101.69092061049899,BH,1.0,4.164915862302129,-4.752519064658189,,-13.935949680544008,,,,,,,,,6.8651523969807835,,,,,,,,,,,,,,,,,,,,,,,4.002254302096737e-06,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,1.4217575480662985,0.1523606619599067,0.6589649067262824,-12.743013250190398,,-12.743013250190398,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6557931613282572,0.32963863369048635,9.178327681812398e-06,0.004070828050165221,0.005613503497530413,0.715499999161132,0.2702712346399698,,0.0007357524978486039,0.006088350054733848,0.6591523453468171,-40.02381524260179,-3.9826981058348823,0.6591622541495663,-98.99999999999999,0.06322560404575972,0.0,0.00011790048583624052,0.26668434564233606,1.1320818157128213e+54,50.12539340921976,7.495518900285846,1.421757548052143,1.4217575344055817,1.4201595998619698,1.405887282875492,-1e+99,7.557347352993301e-05,1535.035005325221,-5.6001387039527386e+48,1.3646649739012043e-08,0.014286985544495943,1.4130235858383116,0.9567367099095361,0.9567367099095361,0.9567367099095361,0.9567367099095361
469540,RLO2,oRLO2,5096826949.029911,28.9879025415346,7.187819012810896,0.0,-1.0,-0.050000000000075734,,step_detached,0.2054755687713623,-4.674720565629445,-68.49578349523935,1.9039243935168508,BH,1.0,3.631061671915437,-4.812091671806067,,-12.547458954058037,,,,,,,,,6.43723784078479,,,,,,,,,,,,,,,,,,,,,,,3.4266870034795163e-10,,,,,,,,,,,,,,,,H-rich_Shell_H_burning,1.0,2.7021530424736357,0.988507773609993,1.9898248947574835,-10.847676591452379,,-10.847676591452379,0.2916131598106724,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9861387605912456,5.577247862159814e-05,0.008837526602527653,0.00010372247714338182,0.7154999999972613,0.2702712346399693,,0.0007357524978486011,0.006088350054733824,2.0494850253025265,-18.344470434599522,-1.3877914231299082,2.049643671087456,-68.69473663465742,0.22593727583405326,0.0,9.137475498302815e-06,0.26920728342376443,5.316143173615518e+55,50.686422894213614,7.552007081328402,2.702153034007171,2.7021426241887903,9.736958994314119,9.402678651314318,-1e+99,0.0016177914200453446,-9.109266551032283e+96,-6.681137113709869e+48,1.0393926648492643e-05,0.33234174211065076,9.565898630015607,0.37541803141294966,0.3858554475945169,0.4012169156193559,0.3646814132219147
589426,RLO2,oRLO2,3483977433.9215255,13.082214156412757,2.1022352414370595,0.0,-1.0,-0.04999999999998487,,step_detached,0.1974649429321289,30.046737590839644,-29.062635499340335,34.51660645791288,BH,1.0,4.337456765141103,-4.7348901382097495,,-14.691053274256745,,,,,,,,,6.799554199768697,,,,,,,,,,,,,,,,,,,,,,,4.557485968808156e-07,,,,,,,,,,,,,,,,H-rich_Shell_H_burning,1.0,2.467874012161729,0.6146251356718078,1.9493028150087122,-11.280937303285283,,-11.280937303285283,0.22208435541909932,,0.0,0.0,0.0,0.0,0.0,0.0,5.646388661815076e-06,0.986132112377137,5.354822427240074e-05,0.008835696810649735,0.0001087788369261792,0.7154999999931044,0.2702712346399694,,0.0007357524978486009,0.006088350054733826,1.977067044545754,-26.09256899292175,-1.46566263596893,1.977223711349334,-79.67684043870567,0.15874670875755567,0.0,2.1247481377883445e-05,0.18006832118897914,9.732667122149852e+54,50.31553932711712,3.85436409717243,2.467874012161729,2.46787401203314,4.117971836485949,4.114160295349988,981635.6354759623,-3.168753556551954e+91,-1e+99,-9.717344351640912e+48,1.9974747043082402e-08,0.01971811712302358,4.064584391396451,0.5220021129543575,0.51689583785865,0.5071525505280479,0.5739740496028849
600512,RLO2,oRLO2,8909068798.217695,20.299858479692908,4.146246137375454,0.0,-1.0,-0.04999999999987774,,step_detached,0.2017505168914795,5.038010386298851,-75.6907413331721,-18.218720645656322,BH,1.0,4.161956355051734,-4.752827775465458,,-13.322144054191023,,,,,,,,,6.863310528330679,,,,,,,,,,,,,,,,,,,,,,,6.36769624577871e-12,,,,,,,,,,,,,,,,H-rich_Shell_H_burning,1.0,2.3744188172023444,0.805726750813248,1.8438140924765092,-11.130034843343042,,-11.130034843343042,0.23668584349659358,,0.0,0.0,0.0,0.0,0.0,0.0,1.86628766205838e-46,0.9861372312365445,5.212614011825911e-05,0.008835329324258697,0.00011109544861963194,0.7154999999865408,0.2702712346399698,,0.0007357524978486006,0.00608835005473383,1.8664015817726791,-23.19575853815143,-1.5719436374656868,1.866559837694184,-76.35100383971748,0.24562067708884877,0.0,1.2683402560370875e-05,0.21203184430721947,1.9227187102972667e+55,50.38715152932434,4.910166942451656,2.374418816430945,2.374418802632485,6.393002139659579,6.376726735255019,-1e+99,-3.168753556551954e+91,-1e+99,-7.192565894088876e+48,1.9358864356439711e-07,0.057879461685484225,6.292784360439325,0.4151977065122108,0.41953926682912807,0.42315379721438673,0.42990422611911794
842814,RLO2,oRLO2,4010715145.8913426,23.243911757170064,4.743978157807856,0.0,-1.0,-0.05000000000001883,,step_detached,0.21295905113220215,-1.9150784394507523,-44.373216975494024,9.669576879087556,BH,1.0,4.6579990262175,-4.70392590366717,,-12.616202787412067,,,,,,,,,7.2723105048957954,,,,,,,,,,,,,,,,,,,,,,,9.996508348727889e-09,,,,,,,,,,,,,,,,H-rich_Shell_H_burning,1.0,2.837669852636704,0.8715646605496322,2.1716028355819037,-10.814748759350449,,-10.814748759350449,0.2925222915318496,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9861393020228566,5.712397246670463e-05,0.008838163131954459,0.00010119302225736821,0.7154999999980655,0.27027123463996955,,0.0007357524978486021,0.006088350054733831,2.1975759851299093,-21.576738058278895,-1.2402245057655374,2.1977344396350373,-73.51164456453742,0.21011894444540533,0.0,9.7507033375706e-06,0.18717843618652766,3.1420440137622593e+55,50.48624820769575,4.31900647059551,2.837669852619933,2.8376698460653516,7.440565850836265,7.417265543367993,-8.13488310561673e+98,-2.577743977305742e+91,-1e+99,-8.843926203175699e+48,1.8481328413640756e-07,0.0613973389756645,7.301771499890419,0.412802267283124,0.41767019793282095,0.4223888862616914,0.4271277963310522
876093,RLO2,oRLO2,8628325556.065609,18.224759012793687,3.8478625667317328,0.0,-1.0,-0.04999999999996761,,step_detached,0.23456883430480957,9.35826189818417,-46.004078124227526,63.54926473171843,BH,1.0,3.7468853384670293,-4.798454893980987,,-12.98607241898808,,,,,,,,,6.526136647943219,,,,,,,,,,,,,,,,,,,,,,,1.9315643537363103e-08,,,,,,,,,,,,,,,,H-rich_Shell_H_burning,1.0,1.7449104505616992,0.7368067315581242,1.2354334516581225,-11.691580297901362,,-11.691580297901362,0.20759526727593589,,0.0,0.0,0.0,0.0,0.0,0.0,8.982773474272624e-45,0.9861323807725966,4.368740613706594e-05,0.008821066348195208,0.00013864762256482366,0.710714703945885,0.27451135551092193,,0.001343851955993883,0.0060882442878372025,1.2356973837906609,-13.245754286518894,-2.200088908398582,1.2358565747609274,-62.07308577467798,0.387254123305738,0.0,1.7593202200164424e-05,0.27040947286504957,7.10984266491805e+55,51.09720488435691,46.635643793620055,1.7449104430238918,0.6110527701008709,5.454490173640489,1.586004267977173,-1e+99,0.398265277188279,11048921.091849225,-1.5493083442701183e+48,1.133857673805458,3.868459124113559,3.5202280525227043,1.1677792338363473,1.2188226270153728,1.3945746816842381,0.6549403065636007
892975,RLO2,oRLO2,9704289682.110384,9.105163331915776,1.3047212327481867,0.0,-1.0,-0.05000000000000051,,step_detached,0.13806390762329102,86.33666440635709,-72.51299723206449,24.690378463255758,BH,1.0,4.078686461510655,-4.761604975740575,,-13.298292800109753,,,,,,,,,6.819719865890159,,,,,,,,,,,,,,,,,,,,,,,2.2244156668360826e-06,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,1.8778782320527558,0.4341745394108352,1.3149646151262253,-11.926322755802818,,-11.926322755802818,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1751352792660627,0.8109863749138884,3.1649128721169155e-05,0.008774470798555763,0.0002079357719227338,0.7154999998907798,0.2702712346399697,,0.000735752497848602,0.00608835005473384,1.3157637966807705,-33.54773067359133,-2.148733908201858,1.315912805741879,-91.45433319005521,0.07388470093245396,0.0,5.5356081243514984e-05,0.2883680448576944,3.949115129504015e+54,50.33966513306261,7.037034126272498,1.8778782320364946,1.8778782313725564,2.7174711092692037,2.7123726065039935,-1e+99,-3.1294601574834864e+91,-1e+99,-6.630968054160046e+48,1.5300491947878393e-08,0.013563286476548506,2.6887437520383597,0.7358937140667676,0.7358937140667676,0.602199338240275,0.7358937140667676
