binary_index,state,event,time,separation,orbital_period,eccentricity,rl_relative_overflow_1,rl_relative_overflow_2,lg_mtransfer_rate,step_names,step_times,V_sys_x,V_sys_y,V_sys_z,S1_state,S1_metallicity,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_lg_system_mdot,S1_lg_wind_mdot,S1_he_core_mass,S1_he_core_radius,S1_c_core_mass,S1_c_core_radius,S1_o_core_mass,S1_o_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_center_c12,S1_center_n14,S1_center_o16,S1_surface_h1,S1_surface_he4,S1_surface_c12,S1_surface_n14,S1_surface_o16,S1_log_LH,S1_log_LHe,S1_log_LZ,S1_log_Lnuc,S1_c12_c12,S1_center_gamma,S1_avg_c_in_c_core,S1_surf_avg_omega,S1_surf_avg_omega_div_omega_crit,S1_total_moment_of_inertia,S1_log_total_angular_momentum,S1_spin,S1_conv_env_top_mass,S1_conv_env_bot_mass,S1_conv_env_top_radius,S1_conv_env_bot_radius,S1_conv_env_turnover_time_g,S1_conv_env_turnover_time_l_b,S1_conv_env_turnover_time_l_t,S1_envelope_binding_energy,S1_mass_conv_reg_fortides,S1_thickness_conv_reg_fortides,S1_radius_conv_reg_fortides,S1_lambda_CE_1cent,S1_lambda_CE_10cent,S1_lambda_CE_30cent,S1_lambda_CE_pure_He_star_10cent,S2_state,S2_metallicity,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_lg_system_mdot,S2_lg_wind_mdot,S2_he_core_mass,S2_he_core_radius,S2_c_core_mass,S2_c_core_radius,S2_o_core_mass,S2_o_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_center_c12,S2_center_n14,S2_center_o16,S2_surface_h1,S2_surface_he4,S2_surface_c12,S2_surface_n14,S2_surface_o16,S2_log_LH,S2_log_LHe,S2_log_LZ,S2_log_Lnuc,S2_c12_c12,S2_center_gamma,S2_avg_c_in_c_core,S2_surf_avg_omega,S2_surf_avg_omega_div_omega_crit,S2_total_moment_of_inertia,S2_log_total_angular_momentum,S2_spin,S2_conv_env_top_mass,S2_conv_env_bot_mass,S2_conv_env_top_radius,S2_conv_env_bot_radius,S2_conv_env_turnover_time_g,S2_conv_env_turnover_time_l_b,S2_conv_env_turnover_time_l_t,S2_envelope_binding_energy,S2_mass_conv_reg_fortides,S2_thickness_conv_reg_fortides,S2_radius_conv_reg_fortides,S2_lambda_CE_1cent,S2_lambda_CE_10cent,S2_lambda_CE_30cent,S2_lambda_CE_pure_He_star_10cent
98167,detached,CC1,8999789575.188826,12.487911845744499,1.5992230432961343,0.0,-0.9384822561151986,-0.5300649834133822,,step_detached,0.37894320487976074,0.0,0.0,0.0,stripped_He_Core_He_depleted,1.0,8.040237804177082,-0.42082838318772126,5.377242783717974,-5.130075557824231,,-5.130075557824231,8.040237804177082,,7.148810025108933,0.12025207598156543,1.2050333898241443,0.022259824804196568,7.148810025108933,0.12025207598156543,0.0,2.4059302497641673e-12,0.011296402298085956,2.191660632763788e-16,0.5158152447892876,1.0000000000000004e-99,0.2765575125817193,,2.026584459462616e-14,0.16483271974723926,-8.66336501526083,5.9029946197101575,7.944728932663918,7.948656214380954,7.580683860184308,0.39891550741415804,0.2744456308235011,2.4814411802360177e-09,3.2597227732237576e-07,2.967936931923114e+53,44.867158653227165,1.2932433230572187e-06,8.040237804177082,8.040237803835224,0.37946490802529254,0.37643797448286676,251.17372483019938,3.061210006756764e-06,127.47548594979055,0.0,0.5653203548869252,0.024628527782472556,0.10734165486945309,1e+99,1e+99,1e+99,1.1109754854669305,H-rich_Core_H_burning,1.0,2.1884399305572675,0.205979765082066,1.4143066698683864,-12.297277875418734,,-12.297277875418734,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7020011137241899,0.2834847239581701,1.3702689556343884e-05,0.00439183991720353,0.005240600309961272,0.7154999999726355,0.27027123463997027,,0.0007357524978486044,0.006088350054733858,1.4149660871175298,-36.539149087935755,-2.321531018128681,1.4150457614485263,-95.72711606406031,0.04490264737698523,0.0,2.844043854337993e-05,0.06240111132168318,2.6023554128491966e+54,49.86930289820937,1.754256187473809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0608019807568504e+49,1.3764602113127496e-09,0.003672970201053875,1.5960576910918673,1.0592504173934223,1.0592504173934223,1.0592504173934223,1.0592504173934223
164933,detached,CC1,5320878164.63251,14.48546744726462,2.0719227162653002,0.0,-0.9178021211195231,-0.5911768020806387,,step_detached,0.4062156677246094,0.0,0.0,0.0,stripped_He_Core_He_depleted,1.0,6.934507770223487,-0.25541065953038095,5.277490962313712,-5.154186854328297,,-5.154186854328297,6.934507770223487,,5.593856279916699,0.09617192989249515,1.106315177305287,0.020988330014629946,5.593856279916699,0.09617192989249515,0.0,1.6643713255684299e-12,0.011893066637189358,2.5150076888857028e-16,0.4762299154994104,1.000000000000001e-99,0.9855930007314248,,0.0006700934922439728,0.006088575891313742,-12.349618836618664,5.679905589082287,7.527350029803501,7.533477383363271,7.1594783239915,0.4381039969910839,0.2774116087360179,7.251658362250715e-09,1.8162148815999047e-06,3.344340325708026e+53,45.384747801120504,5.725005423176908e-06,6.934507770223487,6.533041286995349,0.5553855031417922,0.18519346610912515,-9.81000232804374e+98,-3.108547976677155e+91,-1e+99,0.0,0.09049348971396279,0.004603796436310117,0.0922398660107467,1e+99,1e+99,1e+99,0.6884963592161019,H-rich_Core_H_burning,1.0,2.5763248872159363,0.24567094079595875,1.6916917099840665,-12.383397069999237,,-12.383397069999237,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6961264960183776,0.28944490884215396,1.6843107985538423e-05,0.0049756118673751955,0.004569245144002874,0.7154999999964952,0.2702712346399696,,0.0007357524978486024,0.006088350054733841,1.692415265578958,-35.68191559605871,-1.906195751335297,1.692524696416135,-93.43596851111886,0.04003419658497302,0.0,2.6122562468849944e-05,0.060586459665584125,3.84032146681997e+54,50.00138335635859,1.7157005018080735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3067970581404636e+49,1.275744598160737e-09,0.0037051101615231193,1.7499400461561423,1.087897669160053,1.087897669160053,1.087897669160053,1.087897669160053
421025,detached,CC1,8501130154.179755,87.28718023335652,30.046101426727407,0.0,-0.9913578593669058,-0.9333887195598622,,step_detached,0.3278005123138428,0.0,0.0,0.0,stripped_He_Core_He_depleted,1.0,7.685417974993263,-0.4330234720338736,5.34775355729318,-5.054074949886917,,-5.054074949886917,7.685417974993263,,6.823520291495091,0.1157855081820626,1.1840138027489038,0.021835269059103254,6.823520291495091,0.1157855081820626,0.0,2.6201156527998778e-12,0.011839274437712505,1.7225361285111859e-15,0.509532005355444,1.0000000000000002e-99,0.3296405152526685,,4.548047824311772e-14,0.12764493371590066,-5.888480476172165,5.756468872260164,7.915987764740993,7.918985323441532,7.55350420506961,0.40800666828960397,0.2743748853009379,1.5095682462645676e-15,1.9446323270928843e-13,2.6617708414023496e+53,38.604023415113346,7.722320302199363e-13,7.685417974993263,7.685417974662868,0.36895765988381396,0.3660111283776123,345.75111892436047,3.334360015300745e-06,115.05299408650805,0.0,0.08474878766739902,0.0008705662369386754,0.01878632818482984,1e+99,1e+99,1e+99,1.0897589714560965,H-rich_Core_H_burning,1.0,2.2102071619695973,0.20835629224058838,1.4313014702534805,-12.29887928221882,,-12.29887928221882,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7014459992241249,0.284046321677411,1.3916240156619826e-05,0.0044361313933504905,0.005189696746580194,0.7154999999743139,0.2702712346399702,,0.0007357524978486038,0.006088350054733854,1.431968213402818,-36.48054081101077,-2.2930834785382608,1.4320500274863996,-95.57314683396822,0.04459055475026033,0.0,1.631295524221123e-05,0.03590908139269732,2.664122201584171e+54,49.638086786381955,1.0099042554353925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0744484436374299e+49,1.368843697635592e-09,0.003717040486752408,1.6048935298422224,1.060897060437073,1.060897060437073,1.060897060437073,1.060897060437073
432008,detached,CC1,76298534.50485413,8.53494640606698,0.9519803384543479,0.0,-0.9180611280940396,-0.33309167265455014,,step_detached,0.3445110321044922,0.0,0.0,0.0,stripped_He_Core_C_depleted,1.0,7.797228590095185,-0.43195048294424315,5.358548577631899,-5.085099890561624,,-5.085099890561624,7.797228590095185,,6.8651523969807835,0.11338626055154066,1.1962285884048554,0.02183048071265219,6.8651523969807835,0.11338626055154066,0.0,2.0688641241971886e-12,0.009990270680938452,5.016916186688209e-16,0.5108622321309136,1.0000000000000002e-99,0.3090340867509826,,6.235793428558433e-14,0.1408033379972105,-10.43563436889876,5.78087881471563,7.967290202069011,7.970108345748439,7.607313332425074,0.4076337990766549,0.27137110292534694,1.6904541958605785e-08,2.1700075915081237e-06,2.7205418800718446e+53,45.66265882355325,8.58692500602109e-06,7.797228590095185,7.797228589795112,0.36987034902623445,0.3670341962277873,207.59169069154032,3.1122486015728078e-06,132.8382263238307,0.0,0.47439282331737354,0.020141442406418183,0.10331082267121633,1e+99,1e+99,1e+99,1.0974366130510367,H-rich_Core_H_burning,1.0,1.4181787830183332,0.1447890019037475,0.630216943212469,-12.775608569879127,,-12.775608569879127,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7076443392468739,0.27773134934881105,7.92626793889565e-06,0.0037003645735527698,0.006038559741077911,0.7154999991482258,0.27027123463997005,,0.0007357524978486045,0.006088350054733856,0.6241728813147711,-40.986868716996014,-4.283527003512103,0.6241782671692433,-98.99999999999999,0.06261805151214107,0.0,2.8761170752266213e-05,0.06345681561817702,1.125648791265227e+54,49.510209469798674,1.8272874939167008,1.4181787830029409,1.4181787392492522,1.3955978589799374,1.3770047826241285,-1e+99,0.00011405906582776351,2289.310733061578,-5.5540208432967326e+48,4.375370066866247e-08,0.01859321291655206,1.3863012894642164,0.9766881096990174,0.9766881096990174,0.9766881096990174,0.9766881096990174
469540,detached,CC1,4671309067.480788,32.37525817312052,6.763023662469334,0.0,-0.9759190774409614,-0.811923740924941,,step_detached,0.2656087875366211,0.0,0.0,0.0,stripped_He_Core_He_depleted,1.0,7.2607210124637644,-0.43955870601429475,5.298445581616643,-4.860582141178574,,-4.860582141178574,7.2607210124637644,,6.43723784078479,0.11070796939303255,1.1661674843261425,0.021470221471746806,6.43723784078479,0.11070796939303255,0.0,2.948984324519075e-12,0.012782615527450974,2.6937720969669166e-18,0.4973662145946133,1.65232905557564e-66,0.5115008400588636,,7.869165694007794e-14,0.05404934784892795,-12.313320149388993,5.791204855097411,7.877705028872843,7.881251285523199,7.51413070199441,0.4179236198805593,0.2769452739552684,1.5151615949462886e-12,1.9632912135577673e-10,2.3594819958507584e+53,41.55327562144916,7.697957369582151e-10,7.2607210124637644,7.2607210122642565,0.36344865520816877,0.360928466718753,297.5554923485555,3.942003743201104e-06,144.47746505090998,0.0,0.5469412788850678,0.024283454024244925,0.09855909166112292,1e+99,1e+99,1e+99,1.042728966884784,H-rich_Core_H_burning,1.0,2.7053965981794965,0.2580796469114518,1.7738771975803012,-12.341639083638714,,-12.341639083638714,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6946497292679799,0.29094434131764213,1.7752049193297207e-05,0.005130358815832146,0.0043911795678330525,0.7154999999972962,0.27027123463996994,,0.0007357524978486041,0.0060883500547338504,1.7746022923902995,-35.45701419838557,-1.797410419268045,1.7747186301648539,-92.82492549590911,0.03869678740880755,0.0,1.9823187005990425e-05,0.04683075739453426,4.324395482289193e+54,49.933098882959385,1.3295246179861975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.389527126007568e+49,1.2571368704104408e-09,0.003916869057500939,1.8010250322045176,1.0965178267188038,1.0965178267188038,1.0965178267188038,1.0965178267188038
589426,detached,CC1,2938776599.2553515,13.234915739395806,1.7007264464798268,0.0,-0.9392602856369098,-0.5381536987300773,,step_detached,0.28855013847351074,0.0,0.0,0.0,stripped_He_Core_C_depleted,1.0,8.30266951730463,-0.40785463712699815,5.3936940770070345,-5.118933145872274,,-5.118933145872274,8.30266951730463,,6.799554199768697,0.09954108973230028,0.7653569322124507,0.017958963849361305,6.799554199768697,0.09954108973230028,0.0,1.6783310984258212e-13,0.009965388053001841,3.91929837540237e-26,0.5162822307034798,1.0000000000000008e-99,0.25345428791631147,,1.3994308939943336e-14,0.18502961844484048,-15.4326465318472,5.846025093308287,8.202693918894518,8.204600845266107,7.859388876083703,0.5260170405033496,0.2573742574478387,1.7828942339553387e-09,2.4103963008354744e-07,3.3307538857470435e+53,44.77366812365696,9.778944927966198e-07,8.30266951730463,8.302669516747216,0.39097173645385586,0.38749079313040624,231.3269787882283,3.3352999974512644e-06,94.51472870465719,0.0,0.835529692437303,0.00950135796230282,0.022733440346223405,1e+99,1e+99,1e+99,1.140084908756412,H-rich_Core_H_burning,1.0,2.463537162676436,0.23370005756973855,1.6156847971005845,-12.405531723014178,,-12.405531723014178,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6988364394426021,0.28670299151393974,1.5774882088489127e-05,0.004756150468663549,0.004821482461051036,0.7154999999927693,0.27027123463996977,,0.0007357524978486027,0.006088350054733846,1.6164124475477366,-35.897161803128256,-2.0134625901786887,1.616514286709463,-94.02014637442562,0.04129414351743604,0.0,3.435390987628299e-05,0.07818085264073467,3.4388120473447126e+54,50.07238461154644,2.2096615315693935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2361965074224475e+49,1.289403589080932e-09,0.0037655232666599864,1.7020521986386639,1.0808469793312563,1.0808469793312563,1.0808469793312563,1.0808469793312563
600512,detached,CC1,8299949263.1609955,56.47958924434392,15.427057187348575,0.0,-0.9864688243193298,-0.8946545798494092,,step_detached,0.29348063468933105,0.0,0.0,0.0,stripped_He_Core_He_depleted,1.0,7.7922819157846,-0.4319979535650397,5.358070989229003,-5.083679408593372,,-5.083679408593372,7.7922819157846,,6.863310528330679,0.11349240700097626,1.1956881874209278,0.021830692570810373,6.863310528330679,0.11349240700097626,0.0,2.0932527284979826e-12,0.01007207435020415,5.55703718184573e-16,0.5108033812619749,1.0000000000000002e-99,0.30994574697585386,,6.16112495620003e-14,0.1402211898678009,-10.234455968899328,5.779798879207248,7.965020505408908,7.967846586676249,7.604932735552051,0.40765029434222877,0.27150399491964616,2.689178749482759e-14,3.4525829004700295e-12,2.7179417600496255e+53,39.86385981715093,1.3664378514909388e-11,7.7922819157846,7.792281915483185,0.36982997031180814,0.36698893417115225,213.70415778846032,3.1220751708648372e-06,132.05137683041593,0.0,0.4571535975295961,0.019288826991263504,0.09957115099951178,1e+99,1e+99,1e+99,1.097096943159554,H-rich_Core_H_burning,1.0,2.376677422204148,0.22517244579478357,1.555061444327853,-12.383541617874947,,-12.383541617874947,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6995792123528136,0.2859457521125248,1.5178884898274482e-05,0.00465788312568237,0.004934582681368971,0.7154999999866731,0.27027123463997005,,0.0007357524978486034,0.006088350054733852,1.5557772187607548,-36.07951469314795,-2.1008785914517016,1.5558729561819808,-94.50920235773356,0.042348993362627,0.0,1.815200572007776e-05,0.040836815761295685,3.1577160983217894e+54,49.7582977009223,1.151904830360118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1805284967821924e+49,1.3118765822632374e-09,0.0038005837491489067,1.668655829358708,1.0742465185246526,1.0742465185246526,1.0742465185246526,1.0742465185246526
842814,detached,CC1,3637226820.227415,23.225297043239824,3.9098201288456584,0.0,-0.9653297865020052,-0.7260166635897395,,step_detached,0.2872591018676758,0.0,0.0,0.0,stripped_He_Core_C_depleted,1.0,8.16477853635235,-0.41998806872662425,5.38756476200296,-5.155407002553385,,-5.155407002553385,8.16477853635235,,7.2723105048957954,0.12104293685518547,1.210499907593431,0.021847913485982626,7.2723105048957954,0.12104293685518547,0.0,2.4540338748865757e-12,0.009932251655614134,8.651190298862295e-18,0.5172676587892193,1.0000000000000008e-99,0.26444294857300016,,6.717966878302235e-15,0.175082858530564,-9.497623681172861,6.029380125650749,8.114594519355077,8.118149550204036,7.7587191597180025,0.4024033692156457,0.2730206355853092,4.111635796724378e-11,5.375440187855389e-09,3.0147490325323508e+53,43.09326580292047,2.110747890176529e-08,8.16477853635235,8.164778535949894,0.38019985795168854,0.37710232592938725,211.6229888131029,3.056555995757418e-06,110.32000175614671,0.0,0.04097876292865872,0.0010728005259787719,0.012733458623224421,1e+99,1e+99,1e+99,1.1119015559878969,H-rich_Core_H_burning,1.0,2.843980759399273,0.2695738406435823,1.8564161593173856,-12.190975812421573,,-12.190975812421573,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6952590002816992,0.2903411138812944,1.8291865162885114e-05,0.005169831784733379,0.0043453478478442595,0.7154999999981116,0.27027123463996994,,0.0007357524978486034,0.0060883500547338435,1.8571638521032199,-35.23566736429733,-1.6943433623344817,1.8572858177325862,-92.2239594035665,0.03736947050371778,0.0,3.108655857607473e-05,0.07452874076803308,4.866890331911712e+54,50.17982420650053,2.123392496001908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4815696288208254e+49,1.228005407939117e-09,0.0038943222526589363,1.849746680031972,1.1068458210456877,1.1068458210456877,1.1068458210456877,1.1068458210456877
876093,detached,CC1,7149470485.526233,17.540867299131804,2.816200791628633,0.0,-0.9596874205871907,-0.6839547437280347,,step_detached,0.2780594825744629,0.0,0.0,0.0,stripped_He_Core_He_depleted,1.0,7.396270991870953,-0.4459589834208374,5.31897047303561,-4.942632365520717,,-4.942632365520717,7.396270991870953,,6.526136647943219,0.10978934974877053,1.179102663786788,0.021980819964947263,6.526136647943219,0.10978934974877053,0.0,3.203212797048189e-12,0.013880428374326185,8.82848922802574e-17,0.5033050918018114,1.0000000000000006e-99,0.41792000150685604,,2.915227361613032e-14,0.0843395775537376,-8.601870147328269,5.563123564057593,7.818335076463021,7.820741483991988,7.450420100724635,0.40526814044339293,0.2727592776419317,8.337256144251657e-11,1.0469645216209678e-08,2.419621495152312e+53,43.30477057845258,4.1860491979191395e-08,7.396270991870953,7.1663397448791475,0.35813026648275775,0.16103928942151066,-9.983620110132886e+98,-3.16356317312472e+91,-1.0000226846782397e+99,0.0,0.13693507522338344,0.001556429010576984,0.01608412594447073,1e+99,1e+99,1e+99,1.0845666554263345,H-rich_Core_H_burning,1.0,1.7447363439300523,0.16443624065629397,1.0181360891607776,-12.503712739238594,,-12.503712739238594,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7051272865641203,0.2802846847094199,1.0413009632757294e-05,0.003903079471134887,0.005803569915442273,0.7154999998096839,0.27027123463996977,,0.0007357524978486044,0.006088350054733855,1.0184755587940433,-38.26458431404379,-3.111167483777207,1.0185078435856694,-98.99999999999999,0.053054135798261265,0.0,1.7265473421901072e-05,0.036755442156528685,1.6011131956946517e+54,49.44160052807793,1.0308614332990065,1.7447363439300523,1.7447363438585992,1.4602894011027077,1.4578162030633668,124232.70170115467,0.004990574218690937,-1e+99,-7.741026480462996e+48,1.8868158747318696e-09,0.004013524377143205,1.4498325824319775,1.0146565350901169,1.0146565350901169,1.0146565350901169,1.0146565350901169
892975,detached,CC1,8703003255.239748,9.99615235510036,1.1846576746065471,0.0,-0.9267735072274869,-0.4356755116527552,,step_detached,0.3069016933441162,0.0,0.0,0.0,stripped_He_Core_He_depleted,1.0,7.682441673241989,-0.4336248265746738,5.3476177838068715,-5.053507191975226,,-5.053507191975226,7.682441673241989,,6.819719865890159,0.11551563774071912,1.183993160866222,0.02175654955790797,6.819719865890159,0.11551563774071912,0.0,1.938604400904338e-12,0.010126373606593823,1.872689852675168e-15,0.5086438843777404,1.0000000000000006e-99,0.3303309885328198,,4.599579098520949e-14,0.12724975839417788,-10.903217490484948,5.764485396535654,7.918470689874964,7.921509186605507,7.556977545779686,0.41133802790056867,0.27421387604286,9.393800751769953e-09,1.2078365616897485e-06,2.6506130925636023e+53,45.39618768310747,4.78904060456341e-06,7.682441673241989,7.682441672917279,0.3684479240453826,0.36551864526372124,608.9019873738885,3.3491878659571603e-06,115.54781043098988,0.0,0.5467843149545123,0.023459544950796413,0.10091938658711366,1e+99,1e+99,1e+99,1.088602859527371,H-rich_Core_H_burning,1.0,1.878066047299955,0.1762112489650202,1.1494653582576706,-12.431446388506764,,-12.431446388506764,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7035761768972557,0.28185998869033824,1.1489127689061696e-05,0.004061058446676542,0.005621580482149024,0.7154999998905279,0.2702712346399702,,0.0007357524978486044,0.0060883500547338635,1.1499312278732097,-37.598952959118876,-2.811929334694043,1.1499786416709548,-98.4407753434126,0.05020582651031165,0.0,2.5290054776123257e-05,0.05404616913332325,1.8598448591768347e+54,49.672426488609865,1.513784818534044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.608354978981068e+48,1.6373092973898127e-09,0.003899531469410092,1.4897484434735984,1.0291439581969701,1.0291439581969701,1.0291439581969701,1.0291439581969701
