binary_index,state,event,time,orbital_period,eccentricity,lg_mtransfer_rate,step_names,step_times,S1_state,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_he_core_mass,S1_he_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_surface_h1,S1_surface_he4,S1_surf_avg_omega_div_omega_crit,S1_spin,S2_state,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_he_core_mass,S2_he_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_surface_h1,S2_surface_he4,S2_surf_avg_omega_div_omega_crit,S2_spin
59357,detached,CC1,4047630226.1586757,0.3607622519369348,0.0,,step_detached,0.5282683372497559,stripped_He_Core_C_depleted,7.96538052386464,-0.07003635824348962,5.368522187783151,-6.043199586690513,7.96538052386464,,6.053474917940979,0.09516672266255853,0.0,1.7585396941190497e-12,1.0000000000000014e-99,0.9998580000000001,0.09607180311804389,0.31566977038364147,H-rich_Core_H_burning,2.9594699080692988,0.0827251339500186,2.1152746221821923,-12.76008640704585,0.0,,0.0,0.0,0.729578439004421,0.27028248463201227,0.750658,0.24917348010462664,0.23874714726732024,8.200427300997983
97472,RLO2,oRLO2,901317364.8986993,0.7614838832876593,0.0,,step_detached,0.2231154441833496,NS,2.445921344494647,-4.7456867466967045,,-13.470761459218302,,,4.90024502218452,,,,,,,0.0,H-rich_Core_H_burning,4.821265181706274,0.45207471519863485,3.136670658127322,-10.71118622433626,0.0,,0.0,0.0,0.20039297100351655,0.7994684849540956,0.7506579999999975,0.24917348010462634,0.3242608620509977,9.130841952936366
110308,detached,CC1,3089657733.8872633,2.1187973466967,0.0,,step_detached,0.3706996440887451,stripped_He_Core_C_depleted,8.478669176931145,-0.09450249342163437,5.40498536691259,-6.007865638612787,8.478669176931145,,6.531834242268785,0.09782140501648542,0.0,2.0994731087080073e-12,9.99999963102948e-100,0.9998579999999943,3.271822618085083e-05,0.00010558858833628741,H-rich_Core_H_burning,2.5944856520098982,0.054195577266620824,1.9103429392709468,-13.175095098633008,0.0,,0.0,0.0,0.7347171271864597,0.26514343493818643,0.7506579999999995,0.24917348010462675,0.03792543216553864,1.320116397698255
110579,detached,CC1,3924979690.5605974,2.463535997777502,0.0,,step_detached,0.5122003555297852,stripped_He_Core_C_depleted,8.304137389172842,-0.08667418047024399,5.3929501318356206,-6.020216336318111,8.304137389172842,,6.368773604065325,0.09693432584899773,2.2693384827055352e-30,2.196298617315429e-12,1.0000000000000012e-99,0.999858,2.2139527411490406e-05,7.185760524328622e-05,H-rich_Core_H_burning,2.9808307138478645,0.08394149581978348,2.125224235341475,-12.739669747906404,0.0,,0.0,0.0,0.7310275693243692,0.2688333593386806,0.7506579999999999,0.2491734801046266,0.0549677529533372,1.8881914622139426
111457,detached,CC1,7107142670.187798,1.0008337216461916,0.0,,step_detached,0.5449390411376953,stripped_He_Core_C_depleted,7.178010742968594,-0.027492176731831505,5.30657175010194,-6.1124713838461995,7.178010742968594,,5.316205665511832,0.08948965474484209,0.0,1.2125820215084713e-12,1e-99,0.9998579999999954,0.008787478541904538,0.02979142489014925,H-rich_Core_H_burning,2.67053306701047,0.059913749633280965,1.9554195870312179,-13.082654485012654,0.0,,0.0,0.0,0.7340893616381733,0.2657713091287296,0.7506579999999996,0.2491734801046268,0.06105934951178492,2.1190587776322674
120778,detached,CC1,8935059795.08915,1.8465821189790275,0.0,,step_detached,0.5358071327209473,stripped_He_Core_C_depleted,8.478671617817586,-0.09450262854318406,5.404985542562207,-6.007865588516322,8.478671617817586,,6.531836522733862,0.09782140129959897,0.0,2.0994269687922405e-12,1.0000007906399603e-99,0.9998579999999943,7.838333365967117e-05,0.00025295943256631033,H-rich_Core_H_burning,2.947206165411189,0.08128633601852234,2.107866884324295,-12.775466231790542,0.0,,0.0,0.0,0.7314594651418506,0.26840144352945694,0.7506579999999996,0.24917348010462653,0.05629884782882884,1.9355445946980097
120998,detached,CC1,387875668.4812719,0.8423386179559689,0.0,,step_detached,0.5542116165161133,stripped_He_Core_C_depleted,6.885345542449131,-0.0077307468860383305,5.280925390358498,-6.141017236904801,6.885345542449131,,5.036353133150004,0.0871779802244408,0.0,1.0972490119556564e-12,1.0000000000000006e-99,0.9998579999999994,0.02082008994443105,0.07190428381947458,H-rich_Core_H_burning,2.053071505283259,0.01592187414275441,1.532999957083163,-13.951197933297948,0.0,,0.0,0.0,0.7418387830260411,0.2580171381738744,0.7506579999999969,0.2491734801046273,0.02415303666111244,0.86860798319793
162848,detached,CC1,8170793560.910787,1.6687030738764452,0.0,,step_detached,0.7316670417785645,stripped_He_Core_C_depleted,7.640581186097479,-0.05341089370111309,5.343768672678212,-6.067198974836621,7.640581186097479,,5.751868714379039,0.09342074219934973,0.0,1.3396623374857783e-12,1.0000000000000012e-99,0.9998580000000007,0.0003223121456217878,0.0010740920609637302,H-rich_Core_H_burning,2.551549150839996,0.05080390337010934,1.8835719318021533,-13.228832667171861,0.0,,0.0,0.0,0.7359366820080513,0.263923777752446,0.7506579999999994,0.24917348010462675,0.05018344214785481,1.7508117537235484
171080,detached,CC1,742088343.1747963,0.5091571482801663,0.0,,step_detached,0.722642183303833,stripped_He_Core_C_depleted,7.178010742968227,-0.027492177634172842,5.306571750101945,-6.112471388710617,7.178010742968227,,5.316205665511832,0.08948965417082208,0.0,1.2125792413984599e-12,1e-99,0.9998579999999954,0.06956680054667766,0.235846277764754,H-rich_Core_H_burning,1.814509139084191,0.0018715442490697075,1.3289631580617296,-14.377281327658487,0.0,,0.0,0.0,0.7399853351220563,0.2598673044759942,0.7506579999999701,0.24917348010462706,0.047545034256844074,1.7432624516853634
173600,detached,CC1,7562842081.747116,2.985016322604645,0.0,,step_detached,0.6798045635223389,stripped_He_Core_C_depleted,7.801287810331401,-0.06167359964343411,5.356227372084854,-6.055927968938558,7.801287810331401,,5.900829020680579,0.0942181903476843,-2.0511545579002776e-37,1.564467662091532e-12,1.0000000000000006e-99,0.9998579999999976,1.2614391798206978e-05,4.170910541882147e-05,H-rich_Core_H_burning,2.39218812661118,0.03932284983408477,1.7816708164521042,-13.437359619696043,0.0,,0.0,0.0,0.7370966966042343,0.26276327091420926,0.7506579999999989,0.24917348010462703,0.037066978270850565,1.3031789245453023
