binary_index,state,event,time,orbital_period,eccentricity,lg_mtransfer_rate,step_names,step_times,S1_state,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_he_core_mass,S1_he_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_surface_h1,S1_surface_he4,S1_surf_avg_omega_div_omega_crit,S1_spin,S2_state,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_he_core_mass,S2_he_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_surface_h1,S2_surface_he4,S2_surf_avg_omega_div_omega_crit,S2_spin
22892,detached,,4498899758.009632,1.494219807996291,0.36093846761462467,,step_SN,0.0022215843200683594,BH,2.6796725387255926,-4.944043571445801,,,,,5.358472402392432,,,,,,,1.904051726491958e-05,H-rich_Core_H_burning,2.9982721009330646,0.2846391410706023,1.9451064555820465,,0.0,,0.0,0.0,0.6916160038151744,0.2940230550200049,0.7154999999989764,0.2702712346399701,0.10585609851149647,3.0235138107626063
30640,detached,,8381729757.848152,1.8846524956855126,0.14285588417112963,,step_SN,0.0048563480377197266,BH,4.5177301838167265,-4.717205007448179,,,,,7.164219955799148,,,,,,,7.0012257267807885e-06,H-rich_Core_H_burning,2.945926744059777,0.277390998923733,1.914221653474791,,0.0,,0.0,0.0,0.6962442585766988,0.2893548758960904,0.7154999999986887,0.2702712346399701,0.1253045562668092,3.5785128108156794
98004,detached,,9548855765.57619,2.740360115702378,0.3519894804319632,,step_SN,0.0031828880310058594,BH,3.141908371506627,-4.874931781656255,,,,,5.866644329496912,,,,,,,2.2310881651599514e-05,H-rich_Core_H_burning,2.6719867752184574,0.254574168046181,1.7527550168716584,,0.0,,0.0,0.0,0.6955451126657212,0.2900392516155857,0.7154999999970924,0.27027123463997005,0.0975791488800839,2.76927189409086
152104,detached,,2025330449.4504879,0.7960158010634926,0.6695282182086113,,step_SN,0.0016994476318359375,BH,2.6677034358556684,-4.9459877489397375,,,,,5.341759376167654,,,,,,,4.954639300480572e-05,H-rich_Core_H_burning,1.6135179987102952,0.15478503627831863,0.8756671073747457,,0.0,,0.0,0.0,0.7052033600701701,0.280192941381184,0.7154999997233993,0.27027123463996955,0.03213139464765531,0.9046152894703123
197243,detached,,8824689361.526524,3.3174558155935885,0.6001188820842098,,step_SN,0.002588987350463867,BH,3.1180305258128187,-4.878244934416428,,,,,5.831432296314084,,,,,,,4.910286507925857e-07,H-rich_Core_H_burning,2.971203083353359,0.28017245991659806,1.9286548615862955,,0.0,,0.0,0.0,0.6951269095428292,0.2904828962505654,0.7154999999988273,0.27027123463997005,0.08036916721714994,2.296414033453741
379156,detached,,2083792017.0202835,2.4488459513489027,0.28710256847023347,,step_SN,0.004119396209716797,BH,4.0836302518307015,-4.761078884633444,,,,,6.823558081151905,,,,,,,1.8640535545200417e-06,H-rich_Core_H_burning,1.8997423700531584,0.1780059001195532,1.169339747784856,,0.0,,0.0,0.0,0.7039730039493172,0.28146409116560134,0.7154999999030539,0.2702712346399701,0.05445496765306766,1.525818017663191
695566,detached,,3784251623.6230645,1.593836571271962,0.39280354359477515,,step_SN,0.004400730133056641,BH,4.078657604259262,-4.7616080484429,,,,,6.819653748789844,,,,,,,1.607614624908417e-07,H-rich_Core_H_burning,1.9604159203099987,0.18380566855796693,1.224541889980486,,0.0,,0.0,0.0,0.7032852513447869,0.282163615165871,0.7154999999375841,0.2702712346399705,0.047492141922902804,1.3308089238059546
782773,detached,,5827302600.416167,1.8100914005418762,0.5048776478085392,,step_SN,0.007634401321411133,BH,4.165716039110597,-4.752435634642881,,,,,6.865596474647347,,,,,,,2.8516744352735874e-07,H-rich_Core_H_burning,2.0728017090189255,0.19476335394827177,1.3211184294917777,,0.0,,0.0,0.0,0.7023952723003071,0.2830736082357538,0.7154999999633976,0.27027123463997027,0.05416921994050899,1.5199956655195004
797031,detached,,668544444.2594656,2.2002378195931995,0.6505868638393442,,step_SN,0.0041844844818115234,BH,4.0842882658658715,-4.761008910413087,,,,,6.823968891681049,,,,,,,1.1102368019072112e-08,H-rich_Core_H_burning,2.6944332171846685,0.2566932452313992,1.7668285401535344,,0.0,,0.0,0.0,0.6953228010526924,0.2902651681830665,0.7154999999972297,0.27027123463996994,0.06249533748739534,1.7742087331510394
821552,detached,,9968893800.86698,2.831846961853385,0.6659308789689601,,step_SN,0.003887653350830078,BH,3.915383507179323,-4.77935098996622,,,,,6.665076094664499,,,,,,,5.6742519715450996e-09,H-rich_Core_H_burning,2.346993640028484,0.2216525562079248,1.5333498072775946,,0.0,,0.0,0.0,0.700799441625306,0.28471279410943806,0.7154999999845258,0.27027123463996977,0.043385864039353954,1.2235735465698117
823596,detached,,9382754695.060421,2.1210671995838783,0.3467841177149747,,step_SN,0.004198312759399414,BH,4.164542261317257,-4.752558023458118,,,,,6.864919883969844,,,,,,,5.0101440295223395e-08,H-rich_Core_H_burning,2.1834951112034946,0.20609514902443535,1.4108244822381184,,0.0,,0.0,0.0,0.7009272851530205,0.28456554040608995,0.7154999999722537,0.2702712346399702,0.053543524572534466,1.504638881685805
897298,detached,,512136855.9065439,2.0801049525290702,0.3925277392582536,,step_SN,0.0046176910400390625,BH,4.489263269130602,-4.719950222084892,,,,,6.9100002691880595,,,,,,,6.816334516753677e-08,H-rich_Core_H_burning,2.7545834999685317,0.26111666994049376,1.8030391868444406,,0.0,,0.0,0.0,0.696582218127856,0.2890007171822806,0.7154999999975895,0.2702712346399698,0.08618236439013315,2.450727404764681
