binary_index,state,event,time,orbital_period,eccentricity,lg_mtransfer_rate,step_names,step_times,S1_state,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_he_core_mass,S1_he_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_surface_h1,S1_surface_he4,S1_surf_avg_omega_div_omega_crit,S1_spin,S2_state,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_he_core_mass,S2_he_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_surface_h1,S2_surface_he4,S2_surf_avg_omega_div_omega_crit,S2_spin
22892,RLO2,oRLO2,4733361052.978641,1.1783222551796322,0.0,,step_detached,0.22422432899475098,BH,2.6796725387255926,-4.944043571445801,,-13.940794755998242,,,5.358472402392432,,,,,,,1.904051726491958e-05,H-rich_Core_H_burning,3.002088932777677,0.4903913527540892,2.124575466998824,-11.5564782877508,0.0,,0.0,0.0,0.30395578701123593,0.6821722624723071,0.7154999999989983,0.27027123463996977,0.30594733672111724,7.65974594903311
30640,RLO2,oRLO2,8678258987.953787,1.6470847123471288,0.0,,step_detached,0.18517684936523438,BH,4.5177301838167265,-4.717205007448179,,-13.315468010204217,,,7.164219955799148,,,,,,,7.0012257267807885e-06,H-rich_Core_H_burning,2.9463656276247563,0.571898334981937,2.1307862355548166,-11.18199158314091,0.0,,0.0,0.0,0.17072280870966672,0.8154099791432814,0.715499999998692,0.27027123463996977,0.272738740844615,6.643741029983704
98004,RLO2,oRLO2,9931024583.28929,1.5338409181502157,0.0,,step_detached,0.2259671688079834,BH,3.141908371506627,-4.874931781656255,,-13.491352567386071,,,5.866644329496912,,,,,,,2.2310881651599514e-05,H-rich_Core_H_burning,2.6656463528789796,0.542216544080406,1.9519228865887754,-11.34978765508834,0.0,,0.0,0.0,0.17439751857365726,0.8117338765243296,0.7154999999970525,0.27027123463996944,0.27067779889747934,6.589524628677695
152104,initial_RLOF,,2025330449.4504879,0.7960158010634926,0.6695282182086113,,step_detached,0.12265896797180176,BH,2.6677034358556684,-4.9459877489397375,,,,,5.341759376167654,,,,,,,4.954639300480572e-05,H-rich_Core_H_burning,1.613777277686264,0.15477955905700097,0.8759237465160385,,0.0,,0.0,0.0,0.7053057194796954,0.28009036704333257,0.7154999997236227,0.27027123463996955,0.03213139464765541,0.9046152894703123
197243,RLO2,oRLO2,8998543207.520542,0.8886382832167228,0.0,,step_detached,0.16210603713989258,BH,3.1180305258128187,-4.878244934416428,,-99.0,,,5.831432296314084,,,,,,,4.910286507925857e-07,H-rich_Core_H_burning,2.9604551963232746,0.4021314178608868,2.039959968268191,-11.799000763407811,0.0,,0.0,0.0,0.45472382894882474,0.5313788258677874,0.7154999999987696,0.2702712346399702,0.29572435113324286,7.7514329811392875
214571,RLO2,oRLO2,10567997052.958006,1.0513193180162241,0.0,,step_detached,0.19231891632080078,BH,3.746899373253475,-4.7984532672381475,,-13.585679343038972,,,6.5261607774984,,,,,,,2.2834189419779687e-11,H-rich_Core_H_burning,2.0796374564603104,0.3888442337234358,1.4753155119095414,-11.891975716079182,0.0,,0.0,0.0,0.3052691261140316,0.6808420293714255,0.7154999999639965,0.27027123463997,0.3043890235710247,7.564082241513917
217672,RLO2,oRLO2,10438269491.527147,2.0597958292063376,0.0,,step_detached,0.26871657371520996,BH,3.621244914483456,-4.8132673987657455,,-13.394550893590125,,,6.390906611642656,,,,,,,1.4320109351801739e-11,H-rich_Shell_H_burning,1.8524684329144518,0.5656882796419783,1.4321833400769806,-11.673599400827433,0.15721581796988962,,0.0,0.0,4.103004056067697e-09,0.9861335491610013,0.7154999998758772,0.27027123463996994,0.2693189475722287,5.780493017636274
227670,RLO2,oRLO2,776426628.9411689,10.563417243425773,0.0,,step_detached,0.33386945724487305,BH,4.164532667285448,-4.752559023961801,,-12.764144866454378,,,6.864913913061541,,,,,,,8.40120986821425e-15,H-rich_Shell_H_burning,2.63519008198491,1.0932660755282841,1.9116586829871853,-10.83994105435734,0.31041941153874014,,0.0,0.0,0.0,0.9861384982010902,0.7148534806468749,0.2706842966547974,0.25198503427143615,48.53966962802441
234637,RLO2,oRLO2,8614522829.863708,3.696162082013567,0.0,,step_detached,0.28743886947631836,BH,4.515032949911798,-4.717464373008593,,-12.738453511445066,,,7.159925828135102,,,,,,,1.693211912167674e-12,H-rich_Shell_H_burning,2.884585244693273,0.8024885191449088,2.2252268886268727,-10.833042990870762,0.2868152145818533,,0.0,0.0,7.996492038058415e-17,0.9861394804334173,0.7154999999983357,0.2702712346399699,0.15409242578435292,3.4030766133361268
271714,RLO2,oRLO2,8060639692.413036,11.375472169455549,0.0,,step_detached,0.4854764938354492,BH,3.932407729908188,-4.777466755953322,,-12.364181943927449,,,6.67989132645038,,,,,,,1.53730313501639e-10,H-rich_Shell_H_burning,2.6983872216054916,1.1196123010556969,1.958447807868842,-10.77843733031672,0.3190845362998617,,0.0,0.0,0.0,0.986138746203664,0.7149042569496352,0.270645228949879,0.2959537831118757,57.82770617153846
