binary_index,state,event,time,separation,orbital_period,eccentricity,rl_relative_overflow_1,rl_relative_overflow_2,lg_mtransfer_rate,step_names,step_times,V_sys_x,V_sys_y,V_sys_z,S1_state,S1_metallicity,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_lg_system_mdot,S1_lg_wind_mdot,S1_he_core_mass,S1_he_core_radius,S1_c_core_mass,S1_c_core_radius,S1_o_core_mass,S1_o_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_center_c12,S1_center_n14,S1_center_o16,S1_surface_h1,S1_surface_he4,S1_surface_c12,S1_surface_n14,S1_surface_o16,S1_log_LH,S1_log_LHe,S1_log_LZ,S1_log_Lnuc,S1_c12_c12,S1_center_gamma,S1_avg_c_in_c_core,S1_surf_avg_omega,S1_surf_avg_omega_div_omega_crit,S1_total_moment_of_inertia,S1_log_total_angular_momentum,S1_spin,S1_conv_env_top_mass,S1_conv_env_bot_mass,S1_conv_env_top_radius,S1_conv_env_bot_radius,S1_conv_env_turnover_time_g,S1_conv_env_turnover_time_l_b,S1_conv_env_turnover_time_l_t,S1_envelope_binding_energy,S1_mass_conv_reg_fortides,S1_thickness_conv_reg_fortides,S1_radius_conv_reg_fortides,S1_lambda_CE_1cent,S1_lambda_CE_10cent,S1_lambda_CE_30cent,S1_lambda_CE_pure_He_star_10cent,S2_state,S2_metallicity,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_lg_system_mdot,S2_lg_wind_mdot,S2_he_core_mass,S2_he_core_radius,S2_c_core_mass,S2_c_core_radius,S2_o_core_mass,S2_o_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_center_c12,S2_center_n14,S2_center_o16,S2_surface_h1,S2_surface_he4,S2_surface_c12,S2_surface_n14,S2_surface_o16,S2_log_LH,S2_log_LHe,S2_log_LZ,S2_log_Lnuc,S2_c12_c12,S2_center_gamma,S2_avg_c_in_c_core,S2_surf_avg_omega,S2_surf_avg_omega_div_omega_crit,S2_total_moment_of_inertia,S2_log_total_angular_momentum,S2_spin,S2_conv_env_top_mass,S2_conv_env_bot_mass,S2_conv_env_top_radius,S2_conv_env_bot_radius,S2_conv_env_turnover_time_g,S2_conv_env_turnover_time_l_b,S2_conv_env_turnover_time_l_t,S2_envelope_binding_energy,S2_mass_conv_reg_fortides,S2_thickness_conv_reg_fortides,S2_radius_conv_reg_fortides,S2_lambda_CE_1cent,S2_lambda_CE_10cent,S2_lambda_CE_30cent,S2_lambda_CE_pure_He_star_10cent
2802,detached,,3691714677.7910285,11.2939463665022,1.8492140024469004,0.3931893761453132,,,,step_SN,0.0035614967346191406,-76.82052351566942,-130.61582346271413,-104.8539278731316,BH,1.0,3.747349904543378,-4.798401050332594,,,,,,,,,,,6.526935361398342,,,,,,,,,,,,,,,,,,,,,,,8.267015867108075e-06,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,1.9115357333738787,0.17902634245615795,1.1801979219582557,,,-12.413590282899786,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7040517639913826,0.2813864285763146,1.1669478575114645e-05,0.004073235253940839,0.00560742983761566,0.715499999909869,0.27027123463997016,,0.0007357524978486042,0.006088350054733857,1.1806844162500207,-37.46332703896704,-2.7505814221078255,1.1807353257686504,-98.09796930570008,0.04954849936452245,0.0,2.4686910739432973e-05,0.05280423474633695,1.9291787478266934e+54,49.6778392157779,1.4795639922242905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.827673805907769e+48,1.5909923090161181e-09,0.003777374660642544,1.4994975783378404,1.0329980156111553,1.0329980156111553,1.0329980156111553,1.0329980156111553
8210,detached,CC2,7969937956.677112,38.86871327903444,13.715771191542505,0.0,-1.0,-0.9800266796507872,-98.99999999999999,step_CO_HMS_RLO,0.05447101593017578,-39.56065804093016,-93.45994584666437,-38.95164350238588,BH,1.0,3.7631948626747325,-4.796568589890646,,-98.69897000433602,-98.99999999999999,-99.0,,,,,,,5.341242955821738,,,,,,,,,,,,,,,,,,,,,,,0.7790295028727555,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,0.42859677125787954,-1.7647079745549232,-1.0428611510455967,-13.635496343678287,-99.0,-14.169928338801238,0.42859677125787954,0.015763783141921738,0.37078935250267947,0.00707733672018968,0.0,0.0,0.37078935250267947,0.00707733672018968,0.05822767690863271,1.2594697386053678e-17,0.23578117544900778,0.045443544440501145,0.4945605812604001,0.11421419272861326,0.8716702608397713,4.627718094038511e-05,0.008947512307931393,0.00014908536627399684,-9.491154313826598,-23.584625638292394,-9.081438896846706,-8.938642810890395,-51.44647998867115,10.040581502153906,,0.00036396148760769,0.0018455238852646146,1.8166722254212276e+50,46.35150817613589,0.014037210462883224,0.09239411872851903,0.09227798910754409,0.007567956719279605,0.006424135815652168,0.0,0.0,0.0,-4.3847257537768606e+46,0.00011612962097598507,0.00114382090365179,0.00699604626745894,1.2641946192635343,1.2677218248015503,1.0948377773499087,1.327608142709494
11804,detached,,498737763.79883146,55.57070638434857,18.28837193905462,0.3459993048443572,,,,step_SN,0.0038597583770751953,-17.189734468219463,-47.65228646261189,14.963648533976288,BH,1.0,3.7470721257960946,-4.798433244350146,,,,,,,,,,,6.526457785367079,,,,,,,,,,,,,,,,,,,,,,,2.2101837563429797e-10,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,3.145094392456168,0.29636711093020446,2.023605320231118,,,-11.851502232485716,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6914502246192251,0.29419932112589403,2.0305552040550872e-05,0.0055083202296158035,0.003955819521653828,0.7154999999997399,0.27027123463997027,,0.0007357524978486044,0.00608835005473385,2.0243267870721238,-34.81601685542353,-1.4916769884520011,2.0244591352361647,-91.07813834953694,0.03488560370047552,0.0,2.280321822845303e-05,0.05702741301949379,6.244135911068031e+54,50.1534684909325,1.6340317917213687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6773041021125638e+49,1.20648426726275e-09,0.0039305765901784355,1.968281620546453,1.1243050605235732,1.1243050605235732,1.1243050605235732,1.1243050605235732
14233,detached,,8226638978.141974,21.954496952514223,4.797183672169709,0.5951120668082891,,,,step_SN,0.0038013458251953125,81.674458606543,-84.73853750037208,15.857607000272546,BH,1.0,3.628408348265312,-4.812409139573842,,,,,,,,,,,6.429022849298402,,,,,,,,,,,,,,,,,,,,,,,5.028550126290959e-06,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,2.5484249212130847,0.24149018680928885,1.6725252799981398,,,-12.393844689337156,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6987624996227549,0.28678540804164343,1.6225343611656487e-05,0.0048130590584587905,0.0047558434663423745,0.7154999999963181,0.27027123463996966,,0.0007357524978486029,0.0060883500547338435,1.6732751673452528,-35.731211328130534,-1.9351723381278985,1.6733821492258891,-93.57401191661991,0.04031842564032442,0.0,3.15876906773749e-05,0.07260573699985132,3.723789080590302e+54,50.070502950631294,2.055978852834447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2914522765226386e+49,1.2675827324022217e-09,0.003781454940245364,1.733125275408238,1.0875241873755876,1.0875241873755876,1.0875241873755876,1.0875241873755876
16650,detached,,8448888925.444985,29.12398035469261,8.204240934087064,0.5788215540848878,,,,step_SN,0.0026307106018066406,-46.538754621011584,-128.39248678305879,59.141283933593385,BH,1.0,3.136512693502567,-4.875678247602367,,,,,,,,,,,5.8593021428359595,,,,,,,,,,,,,,,,,,,,,,,1.7464137712270598e-10,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,1.7934482365930413,0.16853405172562244,1.0675823208238977,,,-12.477414041302463,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.704640649846308,0.2807793330107068,1.0796016565537512e-05,0.003954645781902737,0.005744126312847917,0.7154999998399207,0.2702712346399701,,0.0007357524978486048,0.00608835005473386,1.0679709391666372,-38.00181502929075,-2.994009139618366,1.0680086227962562,-98.99999999999999,0.0519629278378113,0.0,1.2527527316705587e-05,0.026679378963890298,1.6911246324844475e+54,49.32604097381678,0.747691873858658,1.7934482365930413,1.7934482365257485,1.474129315090032,1.4715107919494637,219903.5041173992,0.013671147419312593,-1e+99,-8.059624438856866e+48,1.7781566429860208e-09,0.003942325048931888,1.4635501728707283,1.0201369608966746,1.0201369608966746,1.0201369608966746,1.0201369608966746
16700,detached,,6781736091.24437,16.367204122586887,2.973241018482294,0.30495255867257887,,,,step_SN,0.004926919937133789,-4.809876289097571,-106.1591562210363,27.02852113566238,BH,1.0,3.842918975092728,-4.787464069268782,,,,,,,,,,,6.611736749502988,,,,,,,,,,,,,,,,,,,,,,,1.4032669447703459e-08,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,2.819491184177622,0.2672740582348031,1.8420537110696467,,,-12.221585547314168,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6956375001426642,0.28995784324124835,1.811070060274371e-05,0.0051371276029503,0.004382965608476737,0.7154999999979708,0.27027123463996994,,0.0007357524978486032,0.006088350054733844,1.8428037178519445,-35.272544628980015,-1.7123823166021734,1.8429246501011798,-92.32486272810135,0.03758922341055219,0.0,2.5087252230618725e-05,0.05992837701891181,4.762867137272153e+54,50.077321563095055,1.7062374132232005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4658237487142274e+49,1.2300280336026165e-09,0.0038971289333433437,1.8398560378272273,1.1053957760813693,1.1053957760813693,1.1053957760813693,1.1053957760813693
16992,detached,,2657450020.8111277,17.724856920529568,3.4365524319676903,0.03766153232464717,,,,step_SN,0.0044097900390625,4.2014092316981095,-89.05085693042224,21.57972427681063,BH,1.0,3.746920567896989,-4.798450810622751,,,,,,,,,,,6.5261972167646585,,,,,,,,,,,,,,,,,,,,,,,5.035025610819286e-08,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,2.5869672405141397,0.2455949090042652,1.6980495855496152,,,-12.384727405236232,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6977808222389154,0.2877784815121989,1.6600500617091483e-05,0.0048913537332832616,0.004665863629560258,0.7154999999965638,0.27027123463996977,,0.0007357524978486027,0.006088350054733843,1.698794630107967,-35.660568931663796,-1.8996326094218172,1.698904104148529,-93.38125908421085,0.039901795825822706,0.0,2.256811872143185e-05,0.052221093286917646,3.865111083965244e+54,49.94065733792762,1.4795677591418652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.315528672226727e+49,1.2637650442997319e-09,0.0037606552593663464,1.749686011610317,1.0898366590263735,1.0898366590263735,1.0898366590263735,1.0898366590263735
18813,detached,,1500562269.5448234,23.350384083606418,4.988988521348732,0.4577407986104719,,,,step_SN,0.0038733482360839844,30.33828572433876,-102.56739538218203,-40.70456523742886,BH,1.0,3.746802789002068,-4.798464462240703,,,,,,,,,,,6.525994723313475,,,,,,,,,,,,,,,,,,,,,,,9.204862074637362e-10,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,3.1242799320580006,0.2949407425441685,2.0128395247142903,,,-11.873045982811423,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6911438123871385,0.2945067952002636,2.0276466080906783e-05,0.005515977459823782,0.003947107095751319,0.7154999999996497,0.27027123463997027,,0.0007357524978486042,0.006088350054733849,2.013556408432928,-34.843605525368304,-1.5040692217529594,2.0136882650346437,-91.15285658822977,0.035048784280080986,0.0,2.4963107405569456e-05,0.06232876082452574,6.149198587637991e+54,50.18611716407686,1.7851580189329739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6629005996323235e+49,1.2108085243510413e-09,0.003945259027824296,1.9617652649215644,1.122737601930886,1.122737601930886,1.122737601930886,1.122737601930886
23416,detached,,9633998224.760027,15.78454688648223,2.77829535584177,0.4514392761575939,,,,step_SN,0.003421783447265625,46.38068483527552,-124.2778864668795,39.07283677304644,BH,1.0,4.352769317723045,-4.7333596454678455,,,,,,,,,,,6.818643050490683,,,,,,,,,,,,,,,,,,,,,,,1.6785904622753553e-08,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,2.4911933735073313,0.2359780942117993,1.6343043823866175,,,-12.403211991320095,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6992651336955472,0.28627364446276066,1.5845972845809422e-05,0.004750960985682731,0.0048273185059632935,0.715499999994402,0.2702712346399697,,0.0007357524978486027,0.006088350054733844,1.6350439592992483,-35.841450511769004,-1.9881098599760436,1.6351473813251862,-93.87122498116416,0.040964852205704,0.0,2.8389821450463283e-05,0.0647559658439595,3.526893649864242e+54,50.000555025291824,1.8314688007047542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.254623635251754e+49,1.2792483019973994e-09,0.0037674997905884876,1.7110910255182583,1.0833481697013374,1.0833481697013374,1.0833481697013374,1.0833481697013374
23517,detached,,3552426127.043698,48.613079861537095,14.513939634637596,0.21502419831871042,,,,step_SN,0.0038299560546875,11.086868850519394,-64.77451573386413,41.01718810438889,BH,1.0,4.495551932583594,-4.719342278076952,,,,,,,,,,,7.14715635408241,,,,,,,,,,,,,,,,,,,,,,,1.3824606129740946e-11,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,2.8302788941495494,0.2683648834372055,1.8484372110457659,,,-12.20788932655618,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6953512625803379,0.2902471280814273,1.8212810786997593e-05,0.005158098448025792,0.004358862781418785,0.7154999999980329,0.27027123463996994,,0.0007357524978486034,0.006088350054733844,1.8491847293896064,-35.256403008239865,-1.7042577058798087,1.849306150587137,-92.28051340750228,0.03749320378646318,0.0,2.2122131532720445e-05,0.052943589452452415,4.80972722022955e+54,50.02694741661864,1.5078159414980339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4726106898720153e+49,1.2298077967317112e-09,0.0038963273653273797,1.8445392784961836,1.1059508495656591,1.1059508495656591,1.1059508495656591,1.1059508495656591
