binary_index,state,event,time,separation,orbital_period,eccentricity,rl_relative_overflow_1,rl_relative_overflow_2,lg_mtransfer_rate,step_names,step_times,V_sys_x,V_sys_y,V_sys_z,S1_state,S1_metallicity,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_lg_system_mdot,S1_lg_wind_mdot,S1_he_core_mass,S1_he_core_radius,S1_c_core_mass,S1_c_core_radius,S1_o_core_mass,S1_o_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_center_c12,S1_center_n14,S1_center_o16,S1_surface_h1,S1_surface_he4,S1_surface_c12,S1_surface_n14,S1_surface_o16,S1_log_LH,S1_log_LHe,S1_log_LZ,S1_log_Lnuc,S1_c12_c12,S1_center_gamma,S1_avg_c_in_c_core,S1_surf_avg_omega,S1_surf_avg_omega_div_omega_crit,S1_total_moment_of_inertia,S1_log_total_angular_momentum,S1_spin,S1_conv_env_top_mass,S1_conv_env_bot_mass,S1_conv_env_top_radius,S1_conv_env_bot_radius,S1_conv_env_turnover_time_g,S1_conv_env_turnover_time_l_b,S1_conv_env_turnover_time_l_t,S1_envelope_binding_energy,S1_mass_conv_reg_fortides,S1_thickness_conv_reg_fortides,S1_radius_conv_reg_fortides,S1_lambda_CE_1cent,S1_lambda_CE_10cent,S1_lambda_CE_30cent,S1_lambda_CE_pure_He_star_10cent,S2_state,S2_metallicity,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_lg_system_mdot,S2_lg_wind_mdot,S2_he_core_mass,S2_he_core_radius,S2_c_core_mass,S2_c_core_radius,S2_o_core_mass,S2_o_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_center_c12,S2_center_n14,S2_center_o16,S2_surface_h1,S2_surface_he4,S2_surface_c12,S2_surface_n14,S2_surface_o16,S2_log_LH,S2_log_LHe,S2_log_LZ,S2_log_Lnuc,S2_c12_c12,S2_center_gamma,S2_avg_c_in_c_core,S2_surf_avg_omega,S2_surf_avg_omega_div_omega_crit,S2_total_moment_of_inertia,S2_log_total_angular_momentum,S2_spin,S2_conv_env_top_mass,S2_conv_env_bot_mass,S2_conv_env_top_radius,S2_conv_env_bot_radius,S2_conv_env_turnover_time_g,S2_conv_env_turnover_time_l_b,S2_conv_env_turnover_time_l_t,S2_envelope_binding_energy,S2_mass_conv_reg_fortides,S2_thickness_conv_reg_fortides,S2_radius_conv_reg_fortides,S2_lambda_CE_1cent,S2_lambda_CE_10cent,S2_lambda_CE_30cent,S2_lambda_CE_pure_He_star_10cent
2802,RLO2,oRLO2,4670087249.891205,9.30365857772286,1.382533821817381,0.0,-1.0,-0.05000000000000017,,step_detached,0.22278547286987305,-76.82052351566942,-130.61582346271413,-104.8539278731316,BH,1.0,3.747349904543378,-4.798401050332594,,-13.305171685217001,,,,,,,,,6.526935361398342,,,,,,,,,,,,,,,,,,,,,,,8.267015867108075e-06,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,1.9121474999361008,0.4548130498419746,1.3510236244140987,-11.87727714136092,,-11.87727714136092,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.15228937208353466,0.8338350776383686,3.249687925825448e-05,0.008791962365911283,0.00018682785386824586,0.715499999910601,0.27027123463997,,0.000735752497848602,0.006088350054733839,1.351854384707227,-33.23980889008492,-2.1052218279764388,1.3520059616801237,-90.80869490078436,0.07564505866457502,0.0,5.165534831161621e-05,0.28637023660394567,4.349567575797518e+54,50.35156137685771,6.9755422962085465,1.9121474999170671,1.9121474991590541,2.849747835896274,2.8443179425480403,-1e+99,-3.168753556551954e+91,-1e+99,-6.666290229970076e+48,1.743899682545345e-08,0.014805259550621902,2.8187973437332134,0.7236301820198326,0.7236301820198326,0.5938536267362373,0.7236301820198326
8210,ERR,FAILED,7969937956.677112,38.86871327903444,13.715771191542505,0.0,-1.0,-0.9800266796507872,-98.99999999999999,,,-39.56065804093016,-93.45994584666437,-38.95164350238588,BH,1.0,3.7631948626747325,-4.796568589890646,,-98.69897000433602,-98.99999999999999,-99.0,,,,,,,5.341242955821738,,,,,,,,,,,,,,,,,,,,,,,0.7790295028727555,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,0.42859677125787954,-1.7647079745549232,-1.0428611510455967,-13.635496343678287,-99.0,-14.169928338801238,0.42859677125787954,0.015763783141921738,0.37078935250267947,0.00707733672018968,0.0,0.0,0.37078935250267947,0.00707733672018968,0.05822767690863271,1.2594697386053678e-17,0.23578117544900778,0.045443544440501145,0.4945605812604001,0.11421419272861326,0.8716702608397713,4.627718094038511e-05,0.008947512307931393,0.00014908536627399684,-9.491154313826598,-23.584625638292394,-9.081438896846706,-8.938642810890395,-51.44647998867115,10.040581502153906,,0.00036396148760769,0.0018455238852646146,1.8166722254212276e+50,46.35150817613589,0.014037210462883224,0.09239411872851903,0.09227798910754409,0.007567956719279605,0.006424135815652168,0.0,0.0,0.0,-4.3847257537768606e+46,0.00011612962097598507,0.00114382090365179,0.00699604626745894,1.2641946192635343,1.2677218248015503,1.0948377773499087,1.327608142709494
11804,RLO2,oRLO2,782815600.0994872,36.35287020799743,9.68001374838766,0.0,-1.0,-0.04999999999997043,,step_detached,0.2763674259185791,-17.189734468219463,-47.65228646261189,14.963648533976288,BH,1.0,3.7470721257960946,-4.798433244350146,,-12.780396547057066,,,,,,,,,6.526457785367079,,,,,,,,,,,,,,,,,,,,,,,2.2101837563429797e-10,,,,,,,,,,,,,,,,H-rich_Shell_H_burning,1.0,3.139962559278358,1.0990326709600553,2.245016947845342,-10.553290819686932,,-10.553290819686932,0.35335338866192045,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9861403936396944,5.999505208691255e-05,0.008839109173738804,9.628428400662867e-05,0.7154999999997163,0.27027123463996994,,0.0007357524978486024,0.006088350054733832,2.3192500667211347,-16.27073843429249,-1.1191554219466846,2.319408300683864,-65.02676664469564,0.19858100136147872,0.0,3.3831228954611133e-06,0.13544357080138153,9.681050316666621e+55,50.51524025162213,3.7709492874756774,3.1399625478816056,3.1399607161122702,12.55949178997285,12.333248868270779,-1e+99,-6.905624797052737e+90,-1e+99,-7.474796707843807e+48,2.1042097819550922e-06,0.25477399952788904,12.403600467122347,0.3494127961998974,0.3611246457932161,0.3807437574975767,0.3307104554271995
14233,RLO2,oRLO2,8620631923.13481,9.010127350306812,1.2613546314100434,0.0,-1.0,-0.04999999999999929,,step_detached,0.21091485023498535,81.674458606543,-84.73853750037208,15.857607000272546,BH,1.0,3.628408348265312,-4.812409139573842,,-13.710516755253824,,,,,,,,,6.429022849298402,,,,,,,,,,,,,,,,,,,,,,,5.028550126290959e-06,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,2.547295715827432,0.47495487230901656,1.85095400071112,-11.51792450007541,,-11.51792450007541,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2572622518413042,0.7288647225003286,3.452709153048896e-05,0.008805287793471143,0.00016889401687523125,0.7154999999963108,0.2702712346399695,,0.0007357524978486012,0.006088350054733829,1.8516441761754923,-32.93352580857715,-1.5985438325262455,1.8517981757934616,-89.20001801345894,0.05247338606806786,0.0,5.699421059111644e-05,0.2934790298101004,7.257577839247454e+54,50.616622445199965,7.236408821460985,2.547295715827432,2.5472957157829548,2.985120877894629,2.9820491420752107,1358633.434507994,0.017541548303303497,-1e+99,-1.0155870397862694e+49,8.378381314390497e-09,0.011045651710449217,2.9537460778181788,0.8056518805315231,0.8056518805315231,0.6341657621017022,0.8056518805315231
16650,RLO2,oRLO2,9783341680.820177,12.438123711077527,2.2897907126590726,0.0,-1.0,-0.049999999999982545,,step_detached,0.25645899772644043,-46.538754621011584,-128.39248678305879,59.141283933593385,BH,1.0,3.136512693502567,-4.875678247602367,,-13.883241103272718,,,,,,,,,5.8593021428359595,,,,,,,,,,,,,,,,,,,,,,,1.7464137712270598e-10,,,,,,,,,,,,,,,,H-rich_Shell_H_burning,1.0,1.7934216780828358,0.5932301696812867,1.3681719737720917,-11.696404108971416,,-11.696404108971416,0.15780143455235027,,0.0,0.0,0.0,0.0,0.0,0.0,2.499097320619082e-14,0.9861329912551406,4.455375471870142e-05,0.008823318244983946,0.000134918894646751,0.7154999998403836,0.27027123463996994,,0.000735752497848602,0.0060883500547338435,1.374538172860401,-28.423115451873883,-2.0833069829403885,1.3746894809688057,-85.19951022532119,0.2940644393703065,0.0,3.062341023604562e-05,0.28275551856346076,5.730380712942114e+54,50.24423702869852,6.1934349169565825,1.793421677676518,1.7934215020116122,3.9193117257467147,3.8591813652662346,-1e+99,0.0003729966584696334,-8.333807510905959e+98,-5.981515919316386e+48,1.724887027369341e-07,0.059551914384395464,3.889258211683326,0.4709742770985769,0.4705533992233101,0.4673536283096416,0.5019764804389539
16700,RLO2,oRLO2,7130228182.895246,11.8260727154003,1.8260261096308104,0.0,-1.0,-0.049999999999999385,,step_detached,0.20325779914855957,-4.809876289097571,-106.1591562210363,27.02852113566238,BH,1.0,3.842918975092728,-4.787464069268782,,-13.108565803576973,,,,,,,,,6.611736749502988,,,,,,,,,,,,,,,,,,,,,,,1.4032669447703459e-08,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,2.8201724122441876,0.5976832135005334,2.064263321007685,-11.186231691262062,,-11.186231691262062,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.11686398396226487,0.8692695690314605,3.964695105393497e-05,0.008838748128333828,0.0001238271306694126,0.7154999999979743,0.2702712346399698,,0.0007357524978486026,0.006088350054733837,2.0651490972742628,-31.024018709049038,-1.3730740163411448,2.0653073976881022,-85.65101135613081,0.06010139514819599,0.0,3.5426434335978346e-05,0.2648915670612666,1.2677438780045878e+55,50.65235896487034,6.4101327657654,2.8201724122441876,2.820172412148127,3.9599243836529396,3.9551679840835723,2702758.958285811,0.03168546330556374,-1e+99,-1.0406950747187672e+49,1.8511008699363647e-08,0.017637606900947605,3.910167975237337,0.7259480750326169,0.7259480750326169,0.5848667141080872,0.7259480750326169
16992,RLO2,oRLO2,3137825024.211116,17.081831060392943,3.2513981382815036,0.0,-1.0,-0.0499999999999963,,step_detached,0.26985907554626465,4.2014092316981095,-89.05085693042224,21.57972427681063,BH,1.0,3.746920567896989,-4.798450810622751,,-12.646172566431531,,,,,,,,,6.5261972167646585,,,,,,,,,,,,,,,,,,,,,,,5.035025610819286e-08,,,,,,,,,,,,,,,,H-rich_Shell_H_burning,1.0,2.586394045059492,0.7509892282918852,2.0306042218079776,-11.03588565342111,,-11.03588565342111,0.24805720571556786,,0.0,0.0,0.0,0.0,0.0,0.0,9.840515615767407e-15,0.9861382659353495,5.4586972730374455e-05,0.008836830197239132,0.000106099044214311,0.7154999999965419,0.2702712346399693,,0.0007357524978486005,0.006088350054733822,2.046631341992252,-24.86680199829769,-1.3920299347471947,2.046789482804,-78.50564014376798,0.21109817197296035,0.0,2.0381243174687523e-05,0.2702220369502638,1.7160778679802078e+55,50.54376766102419,5.935231420763284,2.586394045059495,2.586394042364754,5.636440645005616,5.618039751613309,1031136.0582637957,0.010691966694439498,-1e+99,-8.916905293074977e+48,7.915192336800537e-08,0.03850380453060438,5.541847665254858,0.4530803889429775,0.4538346265039796,0.4523327122577753,0.4832090661451383
18813,RLO2,oRLO2,1769960862.9541068,12.811252078732235,2.026950661469904,0.0,-1.0,-0.05000000000000018,,step_detached,0.2256152629852295,30.33828572433876,-102.56739538218203,-40.70456523742886,BH,1.0,3.746802789002068,-4.798464462240703,,-13.473191768406066,,,,,,,,,6.525994723313475,,,,,,,,,,,,,,,,,,,,,,,9.204862074637362e-10,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,3.127940339210379,0.6457019113222919,2.255292328686147,-10.952146065272641,,-10.952146065272641,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.08613836791739844,0.899996963890668,4.264093350499517e-05,0.008844184296081846,0.00011362292268935589,0.7154999999996672,0.27027123463996994,,0.000735752497848603,0.006088350054733837,2.256111236819252,-29.94561791053409,-1.1817689103483526,2.256269662267704,-83.72112603574898,0.05928018844351903,0.0,3.3367643110910555e-05,0.27964230274465807,1.7424845376257886e+55,50.764494464760865,6.745853764778964,3.127940339210379,3.127940339132148,4.422891853195604,4.41846412859814,5321789.610980185,-3.168753556551954e+91,-1e+99,-1.1599756451222378e+49,2.1441780651598227e-08,0.01984068247161762,4.36670160132679,0.7173528335462684,0.6005479107313074,0.578441811988842,0.7173528335462684
23416,RLO2,oRLO2,10037654908.582287,8.998116055836554,1.1960001790897345,0.0,-1.0,-0.049999999999999364,,step_detached,0.13037538528442383,46.38068483527552,-124.2778864668795,39.07283677304644,BH,1.0,4.352769317723045,-4.7333596454678455,,-13.065493278462426,,,,,,,,,6.818643050490683,,,,,,,,,,,,,,,,,,,,,,,1.6785904622753553e-08,,,,,,,,,,,,,,,,H-rich_Core_H_burning,1.0,2.4888732670804306,0.4526271816031977,1.802554858505317,-11.586911886962636,,-11.586911886962636,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2833872056578869,0.7027371600408927,3.367443388151006e-05,0.008789336527107387,0.00018826089078579177,0.7154999999943216,0.2702712346399696,,0.0007357524978486021,0.0060883500547338374,1.8032032021847495,-33.2361888913909,-1.6521176407891829,1.803355392829169,-89.80978768751785,0.05185147061952123,0.0,5.7018932760759394e-05,0.27498700459712727,6.521358704243904e+54,50.57035717326532,6.814138975652711,2.4888732670804306,2.4888732670401756,2.835530865803334,2.832633302228548,2191163.473069935,0.013526592331355183,-1e+99,-1.0035868189971012e+49,7.365058845943405e-09,0.010239131597914944,2.8064596402190247,0.8194613897133618,0.8194613897133618,0.6428628765896531,0.8194613897133618
23517,RLO2,oRLO2,3932563145.4381094,44.45510262914273,12.696346167690894,0.0,-1.0,-0.049999999999972095,,step_detached,0.371781587600708,11.086868850519394,-64.77451573386413,41.01718810438889,BH,1.0,4.495551932583594,-4.719342278076952,,-12.222078610487047,,,,,,,,,7.14715635408241,,,,,,,,,,,,,,,,,,,,,,,1.3824606129740946e-11,,,,,,,,,,,,,,,,H-rich_Shell_H_burning,1.0,2.82553295363444,1.1564953293240678,2.0273391246972725,-10.686783042366947,,-10.686783042366947,0.33495293923082164,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9861392553152754,5.7004012835651275e-05,0.008838116087190167,0.00010140673423343517,0.715070970114009,0.2705111612871449,,0.0008548177817222925,0.00608834679222988,2.0338023128725884,-10.128536377157412,-1.4043721633196535,2.033960631012343,-55.02316058118575,0.21754864106802108,0.0,5.718544201371423e-06,0.2943282671366918,7.078329692228285e+56,51.607216269533026,57.553918248032524,2.8255328508719555,1.4130627169308168,14.332030311766669,5.188970361331124,-1e+99,0.4296038560268972,11329878.749492167,-2.4181121907637494e+48,1.4124701345820125,9.142900295308042,9.760619136318915,0.7473396599996169,0.8416595471029774,1.1799388485868723,0.4348086648222654
